focus_id,icon,title,semantic,source
LFC_1_xycyz,GFX_goal_national_mobilization,筹备下一次远征,陆军-全国动员,mod:generic_goals.gfx
LFC_1_1_slex,GFX_goal_coastal_navy,顺流而下,海军-近海,mod:generic_goals.gfx
LFC_2_kzkwzh,GFX_goal_generic_national_defense_fund,控制魁伟扎河,陆军-防御,mod:generic_goals.gfx
LFC_3_sqytz,GFX_goal_generic_army_purges,肃清伊塔扎,陆军-肃清,mod:generic_goals.gfx
LFC_4_yjzdzx,GFX_goal_generic_secret_documents,遗迹中的真相,政治-机密,mod:TAG_Middle_East_goals
LFC_5_gsdyc,GFX_goal_generic_gold,古圣的遗产,资源-黄金,mod:generic_goals.gfx
LFC_6_fwsb,GFX_goal_generic_foreign_diplomacy,访问神滨,政治-外交,mod:generic_goals.gfx
LFC_7_myxd,GFX_goal_generic_deals,关税协定,经济-贸易协定,mod:generic_goals.gfx
LFC_8_tzml,GFX_goal_generic_agriculture,潘帕斯农牧业投资案,经济-农业,mod:generic_goals.gfx
LFC_9_kthz,GFX_goal_generic_jungle_diamond,雨林勘探合作,资源-丛林勘探,mod:generic_goals.gfx
LFC_10_jsjl,GFX_goal_generic_double_research,联合研发魔导技术,科技-联合研究,mod:generic_goals.gfx
LFC_11_mlzy,GFX_goal_generic_multinational_army,引入魔法少女军事支援,陆军-多国部队,mod:generic_goals.gfx
LFC_12_zzpd,GFX_goal_generic_freedom,反种族歧视法,政治-自由,mod:generic_goals.gfx
LFC_13_gyxd,GFX_goal_generic_espionage,雇佣妖精向导,政治-情报,mod:ICON_TRB.gfx
LFC_13_2_kfbj,GFX_goal_free_trade,边境开放与贸易自由,经济-自由贸易,mod:TAG_Middle_East_goals
LFC_14_ymxtl,GFX_goal_generic_railroad,第一条亚马逊铁路,工业-铁路,mod:generic_goals.gfx
LFC_15_tzbj,GFX_goal_generic_expand_the_naval_industry,开发无垠之海,海军-工业扩张,mod:generic_goals.gfx
LFC_16_yjzc,GFX_goal_generic_army_elite,组建妖精侦查部队,陆军-精英侦查,mod:generic_goals.gfx
LFC_40_jjtzh,GFX_goal_generic_parliament,紧急听证会,政治-议会,mod:TAG_Middle_East_goals
LFC_41_jksb,GFX_goal_generic_construction_tools,进口廉价设备,工业-设备进口,mod:generic_goals.gfx
LFC_42_cjml,GFX_goal_generic_air_wing,超级马林航空授权,空军-航空联队,mod:generic_goals.gfx
LFC_43_gcw,GFX_The_Shipyard_In_Bay,干船坞扩建,海军-船坞,mod:TAG_Middle_East_goals
LFC_44_btjs,GFX_goal_generic_warfighting_technology,引进本土技术,科技-技术引进,mod:generic_goals.gfx
LFC_45_fdjcy,GFX_goal_generic_automobile,补贴发动机产业,工业-汽车,mod:generic_goals.gfx
LFC_46_mkn,GFX_goal_generic_radio_development,马可尼无线电合同,科技-无线电,mod:generic_goals.gfx
LFC_47_gyth,GFX_goal_generic_industrial_planning,工业统合计划,工业-工业计划,mod:ICON_CHI.gfx
LFC_48_zykf,GFX_goal_generic_all_resource,重视资源开发,资源-全资源,mod:generic_goals.gfx
LFC_49_mgfht,GFX_goal_generic_mining_iron,投资煤钢复合体,资源-煤钢,mod:generic_goals.gfx
LFC_50_zfxj,GFX_focus_generic_rubber,引种中非橡胶,资源-橡胶,mod:generic_goals.gfx
LFC_51_ckmy,GFX_focus_USS_reopen_trade,重振出口贸易,经济-贸易重开,mod:TAG_USS_goals.gfx
LFC_52_nyaq,GFX_goal_generic_power_plant2,确保能源安全,工业-能源,mod:generic_goals.gfx
LFC_53_sykf,GFX_goal_generic_oil_SPR,石油开发谈判,资源-石油,mod:adorable_heart_goals
LFC_54_jkmt,GFX_goal_generic_coal_mining,进口煤炭,资源-煤炭,mod:generic_goals.gfx
LFC_56_kzys,GFX_focus_continuous_extraction,扩张源石产业,资源-持续开采,mod:generic_goals.gfx
LFC_57_gggc,GFX_focus_generic_public_works_A,公共工程建设署,工业-公共工程,mod:generic_goals.gfx
LFC_58_gsgl,GFX_goal_generic_road2,扩张高速公路网络,工业-公路,mod:generic_goals.gfx
LFC_59_xxsl,GFX_goal_water,兴修水利,工业-水利,mod:adorable_heart_goals
LFC_60_csh,GFX_goal_generic_housing,露斯契亚城市化,工业-住房,mod:generic_goals.gfx
LFC_61_bjkz,GFX_goal_generic_promote_ruralism,边疆垦殖法,经济-垦殖,mod:generic_goals.gfx
LFC_62_glym,GFX_goal_generic_decrease_unemployment,鼓励技工移民,经济-就业,mod:generic_goals.gfx
LFC_63_ldf,GFX_goal_generic_labor_regulation,标准工时法,政治-劳工法规,mod:generic_goals.gfx
LFC_64_jmss,GFX_goal_generic_economics_reform_gold,减免企业税收,经济-减税,mod:generic_goals.gfx
